SPECIES,SWORD,SHIELD,BRILLIANTDIAMOND,SHININGPEARL,LEGENDSARCEUS
Zorua_Hisuian,,,,,inf
Zoroark,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Zoroark_Hisuian,,,,,inf
Minccino,inf,inf,,,
Cinccino,inf,inf,,,
Gothita,inf,,,,
Gothorita,inf,,,,
Gothitelle,inf,,,,
Solosis,,inf,,,
Duosion,,inf,,,
Reuniclus,,inf,,,
Vanillite,inf,inf,,,
Vanillish,inf,inf,,,
Vanilluxe,inf,inf,,,
Emolga,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Karrablast,inf,inf,,,
Escavalier,inf,inf[$ISLEOFARMOR],,,
Foongus,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Amoonguss,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Frillish,inf,inf,,,
Jellicent,inf,inf,,,
Joltik,inf,inf,,,
Galvantula,inf,inf,,,
Ferroseed,inf,inf,,,
Ferrothorn,inf,inf,,,
Klink,inf,inf,,,
Klang,inf,inf,,,
Klinklang,inf,inf,,,
Elgyem,inf,inf,,,
Beheeyem,inf,inf,,,
Litwick,inf,inf,,,
Lampent,inf,inf,,,
Chandelure,inf,inf,,,
Axew,inf,inf,,,
Fraxure,inf,inf,,,
Haxorus,inf,inf,,,
Cubchoo,inf,inf,,,
Beartic,inf,inf,,,
Cryogonal,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Shelmet,inf,inf,,,
Accelgor,inf[$ISLEOFARMOR],inf,,,
Stunfisk,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Stunfisk_Galarian,inf,inf,,,
Mienfoo,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Mienshao,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Druddigon,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Golett,inf,inf,,,
Golurk,inf,inf,,,
Pawniard,inf,inf,,,
Bisharp,inf,inf,,,
Bouffalant,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Rufflet,inf,,,,inf
Braviary,inf,,,,
Braviary_Hisuian,,,,,inf
Vullaby,,inf,,,
Mandibuzz,,inf,,,
Heatmor,inf,inf,,,
Durant,inf,inf,,,
Deino,inf,,,,
Zweilous,inf,,,,
Hydreigon,inf,,,,
Larvesta,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Volcarona,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Cobalion,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Terrakion,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Virizion,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Tornadus_Incarnate,1[$CROWNTUNDRA],,,,1
Thundurus_Incarnate,,1[$CROWNTUNDRA],,,1
Reshiram,1[$CROWNTUNDRA],,,,
Zekrom,,1[$CROWNTUNDRA],,,
Landorus_Incarnate,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,1
Kyurem,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Keldeo_Resolute,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Bunnelby,inf,inf,,,
Diggersby,inf,inf,,,
Fletchling,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Fletchinder,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Talonflame,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Pancham,inf,inf,,,
Pangoro,inf,inf,,,
Espurr,inf,inf,,,
Meowstic_♂,inf,,,,
Meowstic_♀,,inf,,,
Honedge,inf,inf,,,
Doublade,inf,inf,,,
Aegislash_Shield,inf,inf,,,
Spritzee,,inf,,,
Aromatisse,,inf,,,
Swirlix,inf,,,,
Slurpuff,inf,,,,
Inkay,inf,inf,,,
Malamar,inf,inf,,,
Binacle,inf,inf,,,
Barbaracle,inf,inf,,,
Skrelp,,inf[$ISLEOFARMOR],,,
Dragalge,,inf[$ISLEOFARMOR],,,
Clauncher,inf[$ISLEOFARMOR],,,,
Clawitzer,inf[$ISLEOFARMOR],,,,
Helioptile,inf,inf,,,
Heliolisk,inf,inf,,,
Tyrunt,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Tyrantrum,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Amaura,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Aurorus,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Sylveon,inf,inf,,,inf
Hawlucha,inf,inf,,,
Dedenne,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Carbink,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Goomy,,inf,,,inf
Sliggoo,,inf,,,
Sliggoo_Hisuian,,,,,inf
Goodra,,inf,,,
Goodra_Hisuian,,,,,inf
Klefki,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Phantump,inf,inf,,,
Trevenant,inf,inf,,,
Pumpkaboo_Small,inf,inf,,,
Pumpkaboo_Average,inf,inf,,,
Pumpkaboo_Large,inf,inf,,,
Pumpkaboo_Super,inf,inf,,,
Gourgeist_Average,inf,inf,,,
Bergmite,inf,inf,,,inf
Avalugg,inf,inf,,,
Avalugg_Hisuian,,,,,inf
Noibat,inf,inf,,,
Noivern,inf,inf,,,
Xerneas,1[$CROWNTUNDRA],,,,
Yveltal,,1[$CROWNTUNDRA],,,
Zygarde_50% Power Construct,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Rowlet,,,,,inf
Dartrix,,,,,inf
Decidueye_Hisuian,,,,,inf
Grubbin,inf,inf,,,
Charjabug,inf,inf,,,
Vikavolt,inf,inf,,,
Cutiefly,inf,inf,,,
Ribombee,inf,inf,,,
Rockruff,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Rockruff_Own Tempo,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Lycanroc_Midday,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Lycanroc_Midnight,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Lycanroc_Dusk,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Wishiwashi_Solo,inf,inf,,,
Mareanie,inf,inf,,,
Toxapex,inf,inf,,,
Mudbray,inf,inf,,,
Mudsdale,inf,inf,,,
Dewpider,inf,inf,,,
Araquanid,inf,inf,,,
Fomantis,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Lurantis,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Morelull,inf,inf,,,
Shiinotic,inf,inf,,,
Salandit,inf,inf,,,
Salazzle,inf,inf,,,
Stufful,inf,inf,,,
Bewear,inf,inf,,,
Bounsweet,inf,inf,,,
Steenee,inf,inf,,,
Tsareena,inf,inf,,,
Comfey,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Oranguru,inf[$CROWNTUNDRA],inf,,,
Passimian,inf,inf[$CROWNTUNDRA],,,
Wimpod,inf,inf,,,
Golisopod,inf,inf,,,
Sandygast,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Palossand,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Pyukumuku,inf,inf,,,
Turtonator,inf,,,,
Togedemaru,inf,inf,,,
Mimikyu_Disguised,inf,inf,,,
Drampa,,inf,,,
Dhelmise,inf,inf,,,
Jangmo-o,inf,,,,
Hakamo-o,inf,,,,
Kommo-o,inf,,,,
Tapu Koko,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Tapu Lele,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Tapu Bulu,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Tapu Fini,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Solgaleo,1[$CROWNTUNDRA],,,,
Lunala,,1[$CROWNTUNDRA],,,
Nihilego,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Buzzwole,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Pheromosa,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Xurkitree,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Celesteela,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Kartana,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Guzzlord,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Necrozma,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Stakataka,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Blacephalon,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Skwovet,inf,inf,,,
Greedent,inf,inf,,,
Rookidee,inf,inf,,,
Corvisquire,inf,inf,,,
Corviknight,inf,inf,,,
Corviknight_GMAX,inf,inf,,,
Blipbug,inf,inf,,,
Dottler,inf,inf,,,
Orbeetle,inf,inf,,,
Orbeetle_GMAX,inf,inf,,,
Nickit,inf,inf,,,
Thievul,inf,inf,,,
Gossifleur,inf,inf,,,
Eldegoss,inf,inf,,,
Wooloo,inf,inf,,,
Dubwool,inf,inf,,,
Chewtle,inf,inf,,,
Drednaw,inf,inf,,,
Drednaw_GMAX,inf,inf,,,
Yamper,inf,inf,,,
Boltund,inf,inf,,,
Rolycoly,inf,inf,,,
Carkol,inf,inf,,,
Coalossal,inf,inf,,,
Coalossal_GMAX,inf,inf,,,
Applin,inf,inf,,,
Flapple,inf,,,,
Flapple_GMAX,inf,inf[$INTERNET],,,
Appletun,,inf,,,
Appletun_GMAX,inf[$INTERNET],inf,,,
Silicobra,inf,inf,,,
Sandaconda,inf,inf,,,
Sandaconda_GMAX,inf,inf,,,
Cramorant,inf,inf,,,
Arrokuda,inf,inf,,,
Barraskewda,inf,inf,,,
Toxel,inf,inf,,,
Toxtricity_Amped,inf,inf,,,
Toxtricity_Amped_GMAX,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Toxtricity_Amped_GMAX,inf[$INTERNET],inf[$INTERNET],,,
Toxtricity_Low Key,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Toxtricity_Low Key_GMAX,inf[$INTERNET],inf[$INTERNET],,,
Sizzlipede,inf,inf,,,
Centiskorch,inf,inf,,,
Centiskorch_GMAX,inf,inf,,,
Clobbopus,inf,inf,,,
Grapploct,inf,inf,,,
Sinistea_Phony,inf,inf,,,
Sinistea_Antique,inf,inf,,,
Polteageist_Phony,inf,inf,,,
Hatenna,inf,inf,,,
Hattrem,inf,inf,,,
Hatterene,inf,inf,,,
Hatterene_GMAX,inf,inf,,,
Impidimp,inf,inf,,,
Morgrem,inf,inf,,,
Grimmsnarl,inf,inf,,,
Grimmsnarl_GMAX,inf,inf,,,
Obstagoon,inf,inf,,,
Perrserker,inf,inf,,,
Cursola,,inf,,,
Sirfetch'd,inf,,,,
Mr. Rime,inf,inf,,,
Runerigus,inf,inf,,,
Milcery,inf,inf,,,
Alcremie_Vanilla Cream/Strawberry,inf,inf,,,
Alcremie_Vanilla Cream/Strawberry_GMAX,inf,inf,,,
Falinks,inf,inf,,,
Pincurchin,inf,inf,,,
Snom,inf,inf,,,
Frosmoth,inf,inf,,,
Stonjourner,inf,,,,
Eiscue_Ice Face,,inf,,,
Indeedee_♂,inf,inf[$CROWNTUNDRA],,,
Indeedee_♀,inf[$CROWNTUNDRA],inf,,,
Morpeko_Full Belly,inf,inf,,,
Cufant,inf,inf,,,
Copperajah,inf,inf,,,
Copperajah_GMAX,inf,inf,,,
Dracozolt,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Arctozolt,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Dracovish,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Arctovish,inf[$CROWNTUNDRA],inf[$CROWNTUNDRA],,,
Duraludon,inf,inf,,,
Duraludon_GMAX,inf,inf,,,
Dreepy,inf,inf,,,
Drakloak,inf,inf,,,
Dragapult,inf,inf,,,
Zacian_Hero of Many Battles,1,,,,
Zamazenta_Hero of Many Battles,,1,,,
Eternatus,1,1,,,
Calyrex,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Wyrdeer,,,,,inf
Kleavor,,,,,inf
Ursaluna,,,,,inf
Basculegion_♂,,,,,inf
Basculegion_♀,,,,,inf
Sneasler,,,,,inf
Overqwil,,,,,inf
Enamorus_Incarnate,,,,,1
Ability Patch,1[$CROWNTUNDRA],1[$CROWNTUNDRA],,,
Armor Fossil,,,,inf,
Black Augurite,,,,,inf
Claw Fossil,,,inf,inf,
Dawn Stone,inf,inf,2,2,inf
Dome Fossil,,,inf,inf,
Draco Plate,,,inf,inf,
Dragon Scale,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],,,
Dread Plate,,,inf,inf,
Dubious Disc,,,1,1,inf
Dusk Stone,inf,inf,2,2,inf
Earth Plate,,,inf,inf,
Everstone,inf,inf,inf,inf,
Fire Stone,inf,inf,inf,inf,inf
Fist Plate,,,inf,inf,
Flame Plate,,,inf,inf,
Full Incense,inf,inf,1,1,
Helix Fossil,,,inf,inf,
Ice Stone,inf,inf,,,inf
Icicle Plate,,,inf,inf,
Insect Plate,,,inf,inf,
Iron Plate,,,inf,inf,
King's Rock,1;inf[$ISLEOFARMOR],1;inf[$ISLEOFARMOR,,,
Lax Incense,inf,inf,1,1,
Leaf Stone,inf,inf,inf,inf,inf
Luck Incense,inf,inf,1,1,
Meadow Plate,,,inf,inf,
Metal Coat,inf,inf,,,inf
Meadow Plate,,,inf,inf,
Moon Stone,inf,inf,inf,inf,inf
Odd Incense,inf,inf,1,1,
Old Amber,,,inf,inf,
Oval Stone,inf[$ISLEOFARMOR],inf[$ISLEOFARMOR],inf,inf,inf
Peat Block,,,,,inf
Pixie Plate,,,inf,inf,
Prism Scale,inf,inf,,,
Pure Incense,inf,inf,1,1,
Razor Claw,inf,inf,inf,inf,inf
Reaper Cloth,inf,inf,inf,inf,inf
Rock Incense,inf,inf,1,1,
Root Fossil,,,inf,inf,
Rose Incense,inf,inf,1,1,
Rusted Sword,1,,,,
Rusted Shield,,1,,,
Sea Incense,inf,inf,1,1,
Shiny Stone,inf,inf,2,2,inf
Skull Fossil,,,inf,,
Sky Plate,,,inf,inf,
Splash Plate,,,inf,inf,
Spooky Plate,,,inf,inf,
Stone Plate,,,inf,inf,
Sun Stone,inf,inf,inf,inf,inf
Sweet Apple,,inf,,,
Tart Apple,inf,,,,
Thunder Stone,inf,inf,inf,inf,inf
Toxic Plate,,,inf,inf,
Water Stone,inf,inf,inf,inf,inf
Wave Incense,inf,inf,1,1,
Zap Plate,,,inf,inf,
