GAME,FROM,TO,ITEM,TRADE,OTHER_POKEMON,REQUIRED
"SWORD,SHIELD",Duosion,Reuniclus,,,,
NONE,Ducklett,Swanna,,,,
"SWORD,SHIELD",Vanillite,Vanillish,,,,
"SWORD,SHIELD",Vanillish,Vanilluxe,,,,
NONE,Deerling_Spring,Sawsbuck_Spring,,,,
NONE,Deerling_Summer,Sawsbuck_Summer,,,,
NONE,Deerling_Autumn,Sawsbuck_Autumn,,,,
NONE,Deerling_Winter,Sawsbuck_Winter,,,,
"SWORD,SHIELD",Karrablast,Escavalier,,TRUE,Shelmet,
"SWORD,SHIELD",Foongus,Amoonguss,,,,
"SWORD,SHIELD",Frillish,Jellicent,,,,
"SWORD,SHIELD",Joltik,Galvantula,,,,
"SWORD,SHIELD",Ferroseed,Ferrothorn,,,,
"SWORD,SHIELD",Klink,Klang,,,,
"SWORD,SHIELD",Klang,Klinklang,,,,
NONE,Tynamo,Eelektrik,,,,
NONE,Eelektrik,Eelektross,Thunder Stone,,,
"SWORD,SHIELD",Elgyem,Beheeyem,,,,
"SWORD,SHIELD",Litwick,Lampent,,,,
"SWORD,SHIELD",Lampent,Chandelure,Dusk Stone,,,
"SWORD,SHIELD",Axew,Fraxure,,,,
"SWORD,SHIELD",Fraxure,Haxorus,,,,
"SWORD,SHIELD",Cubchoo,Beartic,,,,
"SWORD,SHIELD",Shelmet,Accelgor,,TRUE,Karrablast,
"SWORD,SHIELD",Mienfoo,Mienshao,,,,
"SWORD,SHIELD",Golett,Golurk,,,,
"SWORD,SHIELD",Pawniard,Bisharp,,,,
"SWORD,SHIELD",Rufflet,Braviary,,,,
LEGENDSARCEUS,Rufflet,Braviary_Hisuian,,,,
"SWORD,SHIELD",Vullaby,Mandibuzz,,,,
"SWORD,SHIELD",Deino,Zweilous,,,,
"SWORD,SHIELD",Zweilous,Hydreigon,,,,
"SWORD,SHIELD",Larvesta,Volcarona,,,,
NONE,Chespin,Quilladin,,,,
NONE,Quilladin,Chesnaught,,,,
NONE,Fennekin,Braixen,,,,
NONE,Braixen,Delphox,,,,
NONE,Froakie,Frogadier,,,,
NONE,Frogadier,Greninja,,,,
"SWORD,SHIELD",Bunnelby,Diggersby,,,,
"SWORD,SHIELD",Fletchling,Fletchinder,,,,
"SWORD,SHIELD",Fletchinder,Talonflame,,,,
NONE,Scatterbug_Archipelago,Spewpa_Archipelago,,,,
NONE,Scatterbug_Continental,Spewpa_Continental,,,,
NONE,Scatterbug_Elegant,Spewpa_Elegant,,,,
NONE,Scatterbug_Garden,Spewpa_Garden,,,,
NONE,Scatterbug_High Plains,Spewpa_High Plains,,,,
NONE,Scatterbug_Icy Snow,Spewpa_Icy Snow,,,,
NONE,Scatterbug_Jungle,Spewpa_Jungle,,,,
NONE,Scatterbug_Marine,Spewpa_Marine,,,,
NONE,Scatterbug_Meadow,Spewpa_Meadow,,,,
NONE,Scatterbug_Modern,Spewpa_Modern,,,,
NONE,Scatterbug_Monsoon,Spewpa_Monsoon,,,,
NONE,Scatterbug_Ocean,Spewpa_Ocean,,,,
NONE,Scatterbug_Polar,Spewpa_Polar,,,,
NONE,Scatterbug_River,Spewpa_River,,,,
NONE,Scatterbug_Sandstorm,Spewpa_Sandstorm,,,,
NONE,Scatterbug_Savanna,Spewpa_Savanna,,,,
NONE,Scatterbug_Sun,Spewpa_Sun,,,,
NONE,Scatterbug_Tundra,Spewpa_Tundra,,,,
NONE,Scatterbug_Fancy,Spewpa_Fancy,,,,
NONE,Scatterbug_Poké Ball,Spewpa_Poké Ball,,,,
NONE,Spewpa_Archipelago,Vivillon_Archipelago,,,,
NONE,Spewpa_Continental,Vivillon_Continental,,,,
NONE,Spewpa_Elegant,Vivillon_Elegant,,,,
NONE,Spewpa_Garden,Vivillon_Garden,,,,
NONE,Spewpa_High Plains,Vivillon_High Plains,,,,
NONE,Spewpa_Icy Snow,Vivillon_Icy Snow,,,,
NONE,Spewpa_Jungle,Vivillon_Jungle,,,,
NONE,Spewpa_Marine,Vivillon_Marine,,,,
NONE,Spewpa_Meadow,Vivillon_Meadow,,,,
NONE,Spewpa_Modern,Vivillon_Modern,,,,
NONE,Spewpa_Monsoon,Vivillon_Monsoon,,,,
NONE,Spewpa_Ocean,Vivillon_Ocean,,,,
NONE,Spewpa_Polar,Vivillon_Polar,,,,
NONE,Spewpa_River,Vivillon_River,,,,
NONE,Spewpa_Sandstorm,Vivillon_Sandstorm,,,,
NONE,Spewpa_Savanna,Vivillon_Savanna,,,,
NONE,Spewpa_Sun,Vivillon_Sun,,,,
NONE,Spewpa_Tundra,Vivillon_Tundra,,,,
NONE,Spewpa_Fancy,Vivillon_Fancy,,,,
NONE,Spewpa_Poké Ball,Vivillon_Poké Ball,,,,
NONE,Litleo,Pyroar,,,,
NONE,Flabébé_Red,Floette_Red,,,,
NONE,Flabébé_Yellow,Floette_Yellow,,,,
NONE,Flabébé_Orange,Floette_Orange,,,,
NONE,Flabébé_Blue,Floette_Blue,,,,
NONE,Flabébé_White,Floette_White,,,,
NONE,Floette_Red,Florges_Red,Shiny Stone,,,
NONE,Floette_Yellow,Florges_Yellow,Shiny Stone,,,
NONE,Floette_Orange,Florges_Orange,Shiny Stone,,,
NONE,Floette_Blue,Florges_Blue,Shiny Stone,,,
NONE,Floette_White,Florges_White,Shiny Stone,,,
NONE,Skiddo,Gogoat,,,,
"SWORD,SHIELD",Pancham,Pangoro,,,,
"SWORD,SHIELD",Espurr_MALE,Meowstic_♂,,,,
"SWORD,SHIELD",Espurr_FEMALE,Meowstic_♀,,,,
"SWORD,SHIELD",Honedge,Doublade,,,,
"SWORD,SHIELD",Doublade,Aegislash_Shield,Dusk Stone,,,
"SWORD,SHIELD",Spritzee,Aromatisse,Sachet,TRUE,,
"SWORD,SHIELD",Swirlix,Slurpuff,Whipped Dream,TRUE,,
"SWORD,SHIELD",Inkay,Malamar,,,,
"SWORD,SHIELD",Binacle,Barbaracle,,,,
"SWORD,SHIELD",Skrelp,Dragalge,,,,
"SWORD,SHIELD",Clauncher,Clawitzer,,,,
"SWORD,SHIELD",Helioptile,Heliolisk,Sun Stone,,,
"SWORD,SHIELD",Tyrunt,Tyrantrum,,,,
"SWORD,SHIELD",Amaura,Aurorus,,,,
"SWORD,SHIELD,LEGENDSARCEUS",Eevee,Sylveon,,,,
"SWORD,SHIELD",Goomy,Sliggoo,,,,
LEGENDSARCEUS,Goomy,Sliggoo_Hisuian,,,,
"SWORD,SHIELD",Sliggoo,Goodra,,,,
LEGENDSARCEUS,Sliggoo_Hisuian,Goodra_Hisuian,,,,
"SWORD,SHIELD",Phantump,Trevenant,,TRUE,,
"SWORD,SHIELD",Pumpkaboo_Small,Gourgeist_Small,,TRUE,,
"SWORD,SHIELD",Pumpkaboo_Average,Gourgeist_Average,,TRUE,,
"SWORD,SHIELD",Pumpkaboo_Large,Gourgeist_Large,,TRUE,,
"SWORD,SHIELD",Pumpkaboo_Super,Gourgeist_Super,,TRUE,,
"SWORD,SHIELD",Bergmite,Avalugg,,,,
LEGENDSARCEUS,Bergmite,Avalugg_Hisuian,,,,
"SWORD,SHIELD",Noibat,Noivern,,,,
"SWORD,SHIELD,LEGENDSARCEUS",Rowlet,Dartrix,,,,
"SWORD,SHIELD",Dartrix,Decidueye,,,,
LEGENDSARCEUS,Dartrix,Decidueye_Hisuian,,,,
"SWORD,SHIELD",Litten,Torracat,,,,
"SWORD,SHIELD",Torracat,Incineroar,,,,
"SWORD,SHIELD",Popplio,Brionne,,,,
"SWORD,SHIELD",Brionne,Primarina,,,,
NONE,Pikipek,Trumbeak,,,,
NONE,Trumbeak,Toucannon,,,,
NONE,Yungoos,Gumshoos,,,,
"SWORD,SHIELD",Grubbin,Charjabug,,,,
"SWORD,SHIELD",Charjabug,Vikavolt,,,,
NONE,Crabrawler,Crabominable,,,,
"SWORD,SHIELD",Cutiefly,Ribombee,,,,
"SWORD,SHIELD",Rockruff,Lycanroc_Midday,,,,
"SWORD,SHIELD",Rockruff,Lycanroc_Midnight,,,,
"SWORD,SHIELD",Rockruff_Own Tempo,Lycanroc_Dusk,,,,
"SWORD,SHIELD",Mareanie,Toxapex,,,,
"SWORD,SHIELD",Mudbray,Mudsdale,,,,
"SWORD,SHIELD",Dewpider,Araquanid,,,,
"SWORD,SHIELD",Fomantis,Lurantis,,,,
"SWORD,SHIELD",Morelull,Shiinotic,,,,
"SWORD,SHIELD",Salandit_FEMALE,Salazzle,,,,
"SWORD,SHIELD",Stufful,Bewear,,,,
"SWORD,SHIELD",Bounsweet,Steenee,,,,
"SWORD,SHIELD",Steenee,Tsareena,,,,
"SWORD,SHIELD",Wimpod,Golisopod,,,,
"SWORD,SHIELD",Sandygast,Palossand,,,,
"SWORD,SHIELD",Type: Null,Silvally,,,,
"SWORD,SHIELD",Jangmo-o,Hakamo-o,,,,
"SWORD,SHIELD",Hakamo-o,Kommo-o,,,,
"SWORD,SHIELD",Cosmog,Cosmoem,,,,
SWORD,Cosmoem,Solgaleo,,,,
SHIELD,Cosmoem,Lunala,,,,
"SWORD,SHIELD",Poipole,Naganadel,,,,
"SWORD,SHIELD",Grookey,Thwackey,,,,
"SWORD,SHIELD",Thwackey,Rillaboom,,,,
"SWORD,SHIELD",Rillaboom,Rillaboom_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Scorbunny,Raboot,,,,
"SWORD,SHIELD",Raboot,Cinderace,,,,
"SWORD,SHIELD",Cinderace,Cinderace_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Sobble,Drizzile,,,,
"SWORD,SHIELD",Drizzile,Inteleon,,,,
"SWORD,SHIELD",Inteleon,Inteleon_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Skwovet,Greedent,,,,
"SWORD,SHIELD",Rookidee,Corvisquire,,,,
"SWORD,SHIELD",Corvisquire,Corviknight,,,,
"SWORD,SHIELD",Corviknight,Corviknight_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Blipbug,Dottler,,,,
"SWORD,SHIELD",Dottler,Orbeetle,,,,
"SWORD,SHIELD",Orbeetle,Orbeetle_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Nickit,Thievul,,,,
"SWORD,SHIELD",Gossifleur,Eldegoss,,,,
"SWORD,SHIELD",Wooloo,Dubwool,,,,
"SWORD,SHIELD",Chewtle,Drednaw,,,,
"SWORD,SHIELD",Drednaw,Drednaw_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Yamper,Boltund,,,,
"SWORD,SHIELD",Rolycoly,Carkol,,,,
"SWORD,SHIELD",Carkol,Coalossal,,,,
"SWORD,SHIELD",Coalossal,Coalossal_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Applin,Flapple,Tart Apple,,,
"SWORD,SHIELD",Flapple,Flapple_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Applin,Appletun,Sweet Apple,,,
"SWORD,SHIELD",Appletun,Appletun_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Silicobra,Sandaconda,,,,
"SWORD,SHIELD",Sandaconda,Sandaconda_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Arrokuda,Barraskewda,,,,
"SWORD,SHIELD",Toxel,Toxtricity_Amped,,,,
"SWORD,SHIELD",Toxel,Toxtricity_Low Key,,,,
"SWORD,SHIELD",Toxtricity_Amped,Toxtricity_Amped_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Toxtricity_Low Key,Toxtricity_Low Key_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Sizzlipede,Centiskorch,,,,
"SWORD,SHIELD",Centiskorch,Centiskorch_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Clobbopus,Grapploct,,,,
"SWORD,SHIELD",Sinistea_Phony,Polteageist_Phony,Cracked Pot,,,
"SWORD,SHIELD",Sinistea_Antique,Polteageist_Antique,Chipped Pot,,,
"SWORD,SHIELD",Hatenna,Hattrem,,,,
"SWORD,SHIELD",Hattrem,Hatterene,,,,
"SWORD,SHIELD",Hatterene,Hatterene_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Impidimp,Morgrem,,,,
"SWORD,SHIELD",Morgrem,Grimmsnarl,,,,
"SWORD,SHIELD",Grimmsnarl,Grimmsnarl_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Linoone_Galarian,Obstagoon,,,,
"SWORD,SHIELD",Meowth_Galarian,Perrserker,,,,
"SWORD,SHIELD",Corsola_Galarian,Cursola,,,,
"SWORD,SHIELD",Farfetch'd_Galarian,Sirfetch'd,,,,
"SWORD,SHIELD",Mr. Mime_Galarian,Mr. Rime,,,,
"SWORD,SHIELD",Yamask_Galarian,Runerigus,,,,
"SWORD,SHIELD",Milcery,Alcremie_Vanilla Cream/Strawberry,Strawberry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Vanilla Cream/Berry,Berry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Vanilla Cream/Love,Love Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Vanilla Cream/Star,Star Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Vanilla Cream/Clover,Clover Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Vanilla Cream/Flower,Flower Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Vanilla Cream/Ribbon,Ribbon Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Cream/Strawberry,Strawberry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Cream/Berry,Berry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Cream/Love,Love Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Cream/Star,Star Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Cream/Clover,Clover Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Cream/Flower,Flower Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Cream/Ribbon,Ribbon Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Matcha Cream/Strawberry,Strawberry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Matcha Cream/Berry,Berry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Matcha Cream/Love,Love Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Matcha Cream/Star,Star Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Matcha Cream/Clover,Clover Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Matcha Cream/Flower,Flower Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Matcha Cream/Ribbon,Ribbon Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Mint Cream/Strawberry,Strawberry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Mint Cream/Berry,Berry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Mint Cream/Love,Love Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Mint Cream/Star,Star Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Mint Cream/Clover,Clover Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Mint Cream/Flower,Flower Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Mint Cream/Ribbon,Ribbon Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Lemon Cream/Strawberry,Strawberry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Lemon Cream/Berry,Berry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Lemon Cream/Love,Love Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Lemon Cream/Star,Star Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Lemon Cream/Clover,Clover Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Lemon Cream/Flower,Flower Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Lemon Cream/Ribbon,Ribbon Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Salted Cream/Strawberry,Strawberry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Salted Cream/Berry,Berry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Salted Cream/Love,Love Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Salted Cream/Star,Star Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Salted Cream/Clover,Clover Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Salted Cream/Flower,Flower Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Salted Cream/Ribbon,Ribbon Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Swirl/Strawberry,Strawberry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Swirl/Berry,Berry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Swirl/Love,Love Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Swirl/Star,Star Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Swirl/Clover,Clover Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Swirl/Flower,Flower Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Ruby Swirl/Ribbon,Ribbon Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Caramel Swirl/Strawberry,Strawberry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Caramel Swirl/Berry,Berry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Caramel Swirl/Love,Love Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Caramel Swirl/Star,Star Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Caramel Swirl/Clover,Clover Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Caramel Swirl/Flower,Flower Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Caramel Swirl/Ribbon,Ribbon Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Rainbow Swirl/Strawberry,Strawberry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Rainbow Swirl/Berry,Berry Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Rainbow Swirl/Love,Love Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Rainbow Swirl/Star,Star Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Rainbow Swirl/Clover,Clover Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Rainbow Swirl/Flower,Flower Sweet,,,
"SWORD,SHIELD",Milcery,Alcremie_Rainbow Swirl/Ribbon,Ribbon Sweet,,,
"SWORD,SHIELD",Alcremie_Vanilla Cream/Strawberry,Alcremie_Vanilla Cream/Strawberry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Vanilla Cream/Berry,Alcremie_Vanilla Cream/Berry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Vanilla Cream/Love,Alcremie_Vanilla Cream/Love_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Vanilla Cream/Star,Alcremie_Vanilla Cream/Star_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Vanilla Cream/Clover,Alcremie_Vanilla Cream/Clover_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Vanilla Cream/Flower,Alcremie_Vanilla Cream/Flower_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Vanilla Cream/Ribbon,Alcremie_Vanilla Cream/Ribbon_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Cream/Strawberry,Alcremie_Ruby Cream/Strawberry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Cream/Berry,Alcremie_Ruby Cream/Berry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Cream/Love,Alcremie_Ruby Cream/Love_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Cream/Star,Alcremie_Ruby Cream/Star_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Cream/Clover,Alcremie_Ruby Cream/Clover_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Cream/Flower,Alcremie_Ruby Cream/Flower_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Cream/Ribbon,Alcremie_Ruby Cream/Ribbon_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Matcha Cream/Strawberry,Alcremie_Matcha Cream/Strawberry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Matcha Cream/Berry,Alcremie_Matcha Cream/Berry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Matcha Cream/Love,Alcremie_Matcha Cream/Love_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Matcha Cream/Star,Alcremie_Matcha Cream/Star_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Matcha Cream/Clover,Alcremie_Matcha Cream/Clover_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Matcha Cream/Flower,Alcremie_Matcha Cream/Flower_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Matcha Cream/Ribbon,Alcremie_Matcha Cream/Ribbon_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Mint Cream/Strawberry,Alcremie_Mint Cream/Strawberry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Mint Cream/Berry,Alcremie_Mint Cream/Berry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Mint Cream/Love,Alcremie_Mint Cream/Love_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Mint Cream/Star,Alcremie_Mint Cream/Star_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Mint Cream/Clover,Alcremie_Mint Cream/Clover_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Mint Cream/Flower,Alcremie_Mint Cream/Flower_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Mint Cream/Ribbon,Alcremie_Mint Cream/Ribbon_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Lemon Cream/Strawberry,Alcremie_Lemon Cream/Strawberry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Lemon Cream/Berry,Alcremie_Lemon Cream/Berry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Lemon Cream/Love,Alcremie_Lemon Cream/Love_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Lemon Cream/Star,Alcremie_Lemon Cream/Star_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Lemon Cream/Clover,Alcremie_Lemon Cream/Clover_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Lemon Cream/Flower,Alcremie_Lemon Cream/Flower_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Lemon Cream/Ribbon,Alcremie_Lemon Cream/Ribbon_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Salted Cream/Strawberry,Alcremie_Salted Cream/Strawberry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Salted Cream/Berry,Alcremie_Salted Cream/Berry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Salted Cream/Love,Alcremie_Salted Cream/Love_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Salted Cream/Star,Alcremie_Salted Cream/Star_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Salted Cream/Clover,Alcremie_Salted Cream/Clover_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Salted Cream/Flower,Alcremie_Salted Cream/Flower_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Salted Cream/Ribbon,Alcremie_Salted Cream/Ribbon_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Swirl/Strawberry,Alcremie_Ruby Swirl/Strawberry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Swirl/Berry,Alcremie_Ruby Swirl/Berry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Swirl/Love,Alcremie_Ruby Swirl/Love_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Swirl/Star,Alcremie_Ruby Swirl/Star_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Swirl/Clover,Alcremie_Ruby Swirl/Clover_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Swirl/Flower,Alcremie_Ruby Swirl/Flower_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Ruby Swirl/Ribbon,Alcremie_Ruby Swirl/Ribbon_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Caramel Swirl/Strawberry,Alcremie_Caramel Swirl/Strawberry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Caramel Swirl/Berry,Alcremie_Caramel Swirl/Berry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Caramel Swirl/Love,Alcremie_Caramel Swirl/Love_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Caramel Swirl/Star,Alcremie_Caramel Swirl/Star_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Caramel Swirl/Clover,Alcremie_Caramel Swirl/Clover_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Caramel Swirl/Flower,Alcremie_Caramel Swirl/Flower_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Caramel Swirl/Ribbon,Alcremie_Caramel Swirl/Ribbon_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Rainbow Swirl/Strawberry,Alcremie_Rainbow Swirl/Strawberry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Rainbow Swirl/Berry,Alcremie_Rainbow Swirl/Berry_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Rainbow Swirl/Love,Alcremie_Rainbow Swirl/Love_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Rainbow Swirl/Star,Alcremie_Rainbow Swirl/Star_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Rainbow Swirl/Clover,Alcremie_Rainbow Swirl/Clover_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Rainbow Swirl/Flower,Alcremie_Rainbow Swirl/Flower_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Alcremie_Rainbow Swirl/Ribbon,Alcremie_Rainbow Swirl/Ribbon_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Snom,Frosmoth,,,,
"SWORD,SHIELD",Cufant,Copperajah,,,,
"SWORD,SHIELD",Copperajah,Copperajah_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Duraludon,Duraludon_GMAX,,,,$ISLEOFARMOR
"SWORD,SHIELD",Dreepy,Drakloak,,,,
"SWORD,SHIELD",Drakloak,Dragapult,,,,
"SWORD,SHIELD",Kubfu,Urshifu_Single Strike,,,,$TOWEROFDARKNESS
