GAME,FROM,TO,ITEM,TRADE,OTHER_POKEMON
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_River,Spewpa_River,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Sandstorm,Spewpa_Sandstorm,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Savanna,Spewpa_Savanna,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Sun,Spewpa_Sun,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Tundra,Spewpa_Tundra,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Fancy,Spewpa_Fancy,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Scatterbug_Poké Ball,Spewpa_Poké Ball,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Archipelago,Vivillon_Archipelago,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Continental,Vivillon_Continental,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Elegant,Vivillon_Elegant,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Garden,Vivillon_Garden,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_High Plains,Vivillon_High Plains,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Icy Snow,Vivillon_Icy Snow,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Jungle,Vivillon_Jungle,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Marine,Vivillon_Marine,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Meadow,Vivillon_Meadow,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Modern,Vivillon_Modern,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Monsoon,Vivillon_Monsoon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Ocean,Vivillon_Ocean,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Polar,Vivillon_Polar,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_River,Vivillon_River,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Sandstorm,Vivillon_Sandstorm,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Savanna,Vivillon_Savanna,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Sun,Vivillon_Sun,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Tundra,Vivillon_Tundra,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Fancy,Vivillon_Fancy,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spewpa_Poké Ball,Vivillon_Poké Ball,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Litleo,Pyroar,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Flabébé_Red,Floette_Red,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Flabébé_Yellow,Floette_Yellow,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Flabébé_Orange,Floette_Orange,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Flabébé_Blue,Floette_Blue,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Flabébé_White,Floette_White,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Floette_Red,Florges_Red,Shiny Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Floette_Yellow,Florges_Yellow,Shiny Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Floette_Orange,Florges_Orange,Shiny Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Floette_Blue,Florges_Blue,Shiny Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Floette_White,Florges_White,Shiny Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Skiddo,Gogoat,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pancham,Pangoro,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Espurr_MALE,Meowstic_♂,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Espurr_FEMALE,Meowstic_♀,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Honedge,Doublade,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Doublade,Aegislash_Shield,Dusk Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Spritzee,Aromatisse,Sachet,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Swirlix,Slurpuff,Whipped Dream,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Inkay,Malamar,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Binacle,Barbaracle,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Skrelp,Dragalge,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Clauncher,Clawitzer,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Helioptile,Heliolisk,Sun Stone,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Tyrunt,Tyrantrum,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Amaura,Aurorus,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Eevee,Sylveon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Goomy,Sliggoo,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sliggoo,Goodra,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Phantump,Trevenant,,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pumpkaboo_Small,Gourgeist_Small,,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pumpkaboo_Average,Gourgeist_Average,,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pumpkaboo_Large,Gourgeist_Large,,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pumpkaboo_Super,Gourgeist_Super,,TRUE,
"SUN,MOON,ULTRASUN,ULTRAMOON",Bergmite,Avalugg,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Noibat,Noivern,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Rowlet,Dartrix,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dartrix,Decidueye,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Litten,Torracat,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Torracat,Incineroar,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Popplio,Brionne,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Brionne,Primarina,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Pikipek,Trumbeak,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Trumbeak,Toucannon,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Yungoos,Gumshoos,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Grubbin,Charjabug,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Charjabug,Vikavolt,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Crabrawler,Crabominable,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Cutiefly,Ribombee,,,
"SUN,ULTRASUN",Rockruff,Lycanroc_Midday,,,
"MOON,ULTRAMOON",Rockruff,Lycanroc_Midnight,,,
"ULTRASUN,ULTRAMOON",Rockruff_Own Tempo_FATEFUL,Lycanroc_Dusk,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Mareanie,Toxapex,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Mudbray,Mudsdale,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Dewpider,Araquanid,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Fomantis,Lurantis,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Morelull,Shiinotic,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Salandit_FEMALE,Salazzle,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Stufful,Bewear,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Bounsweet,Steenee,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Steenee,Tsareena,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Wimpod,Golisopod,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Sandygast,Palossand,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Type: Null,Silvally,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Jangmo-o,Hakamo-o,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Hakamo-o,Kommo-o,,,
"SUN,MOON,ULTRASUN,ULTRAMOON",Cosmog,Cosmoem,,,
"SUN,ULTRASUN",Cosmoem,Solgaleo,,,
"MOON,ULTRAMOON",Cosmoem,Lunala,,,
"ULTRASUN,ULTRAMOON",Poipole,Naganadel,,,
